topic_id,openalex_id,display_name,description,keywords,domain_id,domain_name,field_id,field_name,subfield_id,subfield_name,works_count,cited_by_count,works_api_url,updated_date,created_date,source,fetched_at
T10020,https://openalex.org/T10020,Quantum Information and Cryptography,"This cluster of papers covers a wide range of topics in the field of quantum information, including quantum entanglement, cryptography, computation, metrology, superconducting circuits, photon manipulation, measurement, security, and communication. It reflects the ongoing advancements and diverse applications of quantum technologies in various domains.",Quantum; Entanglement; Cryptography; Computation; Metrology; Superconducting Circuits; Photon; Measurement; Security; Communication,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,154436,2559598,https://api.openalex.org/works?filter=topics.id:T10020,2026-06-19T03:01:20,2024-01-23T15:27:04,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10682,https://openalex.org/T10682,Quantum Computing Algorithms and Architecture,"This cluster of papers represents a wide range of advancements in quantum computing and simulation, covering topics such as fault-tolerant quantum computation, quantum machine learning, adiabatic quantum computation, quantum error correction, and topological quantum memory. The research also delves into quantum algorithms, variational quantum algorithms, and quantum simulation of various systems.",Quantum Computation; Quantum Information; Quantum Algorithms; Fault-tolerant Quantum Computation; Quantum Machine Learning; Quantum Simulation; Variational Quantum Algorithms; Adiabatic Quantum Computation; Quantum Error Correction; Topological Quantum Memory,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,123367,1365320,https://api.openalex.org/works?filter=topics.id:T10682,2026-06-19T03:01:20,2024-01-23T15:27:07,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10126,https://openalex.org/T10126,"Logic, programming, and type systems","This cluster of papers covers a wide range of program analysis and verification techniques, including static analysis, formal verification, type inference, memory management, concurrency, garbage collection, separation logic, model checking, abstract interpretation, and programming language semantics.",Static Analysis; Formal Verification; Type Inference; Memory Management; Concurrency; Garbage Collection; Separation Logic; Model Checking; Abstract Interpretation; Programming Language Semantics,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,111263,1309822,https://api.openalex.org/works?filter=topics.id:T10126,2026-06-19T03:01:20,2024-01-23T15:27:05,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10201,https://openalex.org/T10201,Speech Recognition and Synthesis,"This cluster of papers focuses on the advances in speech recognition technology, covering topics such as acoustic modeling using deep neural networks, speaker verification, convolutional neural networks for speech recognition, end-to-end speech recognition systems, hidden Markov models, sequence-to-sequence models, automatic speech recognition, speaker diarization, and statistical language modeling.",Deep Neural Networks; Acoustic Modeling; Speaker Verification; Convolutional Neural Networks; End-to-End Speech Recognition; Hidden Markov Models; Sequence-to-Sequence Models; Automatic Speech Recognition; Speaker Diarization; Statistical Language Modeling,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,97409,997447,https://api.openalex.org/works?filter=topics.id:T10201,2026-06-19T03:01:20,2024-01-23T15:27:05,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10764,https://openalex.org/T10764,Privacy-Preserving Technologies in Data,"This cluster of papers focuses on privacy-preserving techniques for data analysis and machine learning, including topics such as differential privacy, federated learning, k-anonymity, secure computation, and location privacy. The papers explore methods to protect sensitive information while performing data mining, machine learning, and statistical analysis.",Differential Privacy; Federated Learning; k-Anonymity; Privacy Preservation; Machine Learning; Location Privacy; Data Mining; Anonymization; Secure Computation; Membership Inference Attacks,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,83905,1038094,https://api.openalex.org/works?filter=topics.id:T10764,2026-06-19T03:01:20,2024-01-23T15:27:08,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10862,https://openalex.org/T10862,AI in cancer detection,"This cluster of papers focuses on the application of deep learning and machine learning techniques in medical image analysis, particularly in the context of histopathology images, digital pathology, and computer-aided detection for breast cancer diagnosis. The use of convolutional neural networks and whole slide imaging is prominent in these studies, aiming to improve accuracy and efficiency in cancer prognosis and prediction.",Deep Learning; Medical Image Analysis; Histopathology Images; Computer-Aided Detection; Convolutional Neural Networks; Digital Pathology; Breast Cancer Diagnosis; Machine Learning; Whole Slide Imaging; Cancer Prognosis,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,83406,939410,https://api.openalex.org/works?filter=topics.id:T10862,2026-06-19T03:01:20,2024-01-23T15:27:08,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10237,https://openalex.org/T10237,Cryptography and Data Security,"This cluster of papers covers advanced cryptographic schemes and protocols, including homomorphic encryption, identity-based encryption, attribute-based encryption, lattice-based cryptography, secure multi-party computation, searchable encryption, pairing-based cryptography, privacy-preserving computation, zero-knowledge proofs, and trapdoor functions.",Homomorphic Encryption; Identity-Based Encryption; Attribute-Based Encryption; Lattice-based Cryptography; Secure Multi-party Computation; Searchable Encryption; Pairing-based Cryptography; Privacy-Preserving Computation; Zero-Knowledge Proofs; Trapdoor Functions,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,82925,1535740,https://api.openalex.org/works?filter=topics.id:T10237,2026-06-19T03:01:20,2024-01-23T15:27:05,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T13559,https://openalex.org/T13559,Edcuational Technology Systems,"This cluster of papers focuses on the development and application of expert systems, including decision support systems, data mining, artificial intelligence, knowledge management, machine learning, information systems, natural language processing, fuzzy logic, and educational technology.",Expert Systems; Decision Support System; Data Mining; Artificial Intelligence; Knowledge Management; Machine Learning; Information System; Natural Language Processing; Fuzzy Logic; Educational Technology,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,82454,178573,https://api.openalex.org/works?filter=topics.id:T13559,2026-06-19T03:01:20,2024-01-23T15:27:19,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T11512,https://openalex.org/T11512,Anomaly Detection Techniques and Applications,"This cluster of papers focuses on the detection of anomalies in high-dimensional data, particularly in the context of video analysis, surveillance, and time series data. It covers a wide range of techniques including unsupervised learning, outlier detection, deep learning, and novelty detection for identifying abnormal patterns and events.",Anomaly Detection; Unsupervised; Outlier Detection; Deep Learning; High-Dimensional Data; Video Analysis; Neural Networks; Novelty Detection; Surveillance; Time Series,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,76925,863683,https://api.openalex.org/works?filter=topics.id:T11512,2026-06-19T03:01:20,2024-01-23T15:27:10,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T11010,https://openalex.org/T11010,"Logic, Reasoning, and Knowledge","This cluster of papers focuses on the intersection of logic programming, knowledge representation, and reasoning. It encompasses topics such as answer set programming, modal logic, belief revision, temporal logic, epistemic logic, nonmonotonic reasoning, description logics, model checking, and constraint logic programming.",Answer Set Programming; Modal Logic; Knowledge Representation; Belief Revision; Temporal Logic; Epistemic Logic; Nonmonotonic Reasoning; Description Logics; Model Checking; Constraint Logic Programming,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,75884,921157,https://api.openalex.org/works?filter=topics.id:T11010,2026-06-19T03:01:20,2024-01-23T15:27:09,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T11975,https://openalex.org/T11975,Evolutionary Algorithms and Applications,"This cluster of papers focuses on the application of genetic programming in machine learning, particularly in the areas of classification, feature selection, symbolic regression, and evolvable hardware. It explores the use of evolutionary algorithms and learning classifier systems to solve complex problems, with an emphasis on multiobjective optimization and semantic genetic programming.",Genetic Programming; Machine Learning; Classification; Evolutionary Algorithms; Feature Selection; Symbolic Regression; Evolvable Hardware; Learning Classifier Systems; Semantic Genetic Programming; Multiobjective Optimization,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,74024,858947,https://api.openalex.org/works?filter=topics.id:T11975,2026-06-19T03:01:20,2024-01-23T15:27:12,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T11269,https://openalex.org/T11269,Algorithms and Data Compression,"This cluster of papers focuses on the development and optimization of algorithms for compressing and indexing text data, with applications to genomic data, string matching, suffix arrays, and entropy-based compression techniques.",Compression; Suffix Arrays; Text Indexing; Data Structures; String Matching; Genomic Data; Entropy; Hashing; Approximate Matching; Algorithms,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,72720,1012019,https://api.openalex.org/works?filter=topics.id:T11269,2026-06-19T03:01:20,2024-01-23T15:27:10,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10100,https://openalex.org/T10100,Metaheuristic Optimization Algorithms Research,"This cluster of papers focuses on swarm intelligence optimization algorithms, including Particle Swarm Optimization, Differential Evolution, Ant Colony Optimization, and Firefly Algorithm. These nature-inspired metaheuristic algorithms are used for global optimization and have applications in various fields.",Particle Swarm Optimization; Differential Evolution; Ant Colony Optimization; Firefly Algorithm; Metaheuristics; Nature-Inspired Algorithms; Global Optimization; Evolutionary Algorithms; Constraint Handling; Optimization Applications,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,72651,1984149,https://api.openalex.org/works?filter=topics.id:T10100,2026-06-19T03:01:20,2024-01-23T15:27:05,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10664,https://openalex.org/T10664,Sentiment Analysis and Opinion Mining,"This cluster of papers focuses on sentiment analysis and opinion mining, particularly in the context of social media and text mining. It covers various techniques such as lexicon-based methods, deep learning, aspect-based sentiment analysis, and machine learning for analyzing emotions and opinions in textual data from platforms like Twitter. The research also delves into emotion recognition and the impact of sentiment analysis on public perception.",Sentiment Analysis; Opinion Mining; Social Media; Text Mining; Emotion Recognition; Deep Learning; Aspect-based Sentiment Analysis; Lexicon-Based Methods; Twitter Sentiment; Machine Learning,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,67298,857762,https://api.openalex.org/works?filter=topics.id:T10664,2026-06-19T03:01:20,2024-01-23T15:27:07,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T11130,https://openalex.org/T11130,Coding theory and cryptography,"This cluster of papers focuses on the intersection of cryptography and error-correcting codes, exploring topics such as algebraic attacks, Reed-Solomon codes, Boolean functions, the McEliece cryptosystem, frequency hopping sequences, and decoding algorithms. The papers delve into the design and analysis of cryptographic functions, code-based cryptography, fast correlation attacks, and constructions of secure communication systems.",Cryptography; Error-Correcting Codes; Algebraic Attacks; Reed-Solomon Codes; Boolean Functions; Linear Feedback; McEliece Cryptosystem; Frequency Hopping Sequences; Decoding Algorithms; Bent Functions,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,66467,663498,https://api.openalex.org/works?filter=topics.id:T11130,2026-06-19T03:01:20,2024-01-23T15:27:09,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T11689,https://openalex.org/T11689,Adversarial Robustness in Machine Learning,"This cluster of papers focuses on the robustness of deep learning models against adversarial attacks, exploring topics such as adversarial examples, security, uncertainty estimation, defenses, and verification. It delves into the challenges and potential solutions for ensuring the resilience of neural networks in the face of malicious inputs.",Adversarial Examples; Deep Learning; Robustness; Neural Networks; Machine Learning; Security; Uncertainty Estimation; Defenses; Attack; Verification,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,63224,551601,https://api.openalex.org/works?filter=topics.id:T11689,2026-06-19T03:01:20,2024-01-23T15:27:11,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T11902,https://openalex.org/T11902,Intelligent Tutoring Systems and Adaptive Learning,"This cluster of papers focuses on the effectiveness and impact of intelligent tutoring systems, exploring topics such as cognitive-affective interaction, meta-cognitive skills, knowledge tracing, student modeling, and adaptive learning environments. It also delves into the use of educational agents, Bayesian networks, and pedagogical strategies to enhance learning outcomes.",Intelligent Tutoring Systems; Affective States; Cognitive-Affective Interaction; Meta-cognitive Skills; Knowledge Tracing; Student Modeling; Adaptive Learning Environments; Educational Agents; Bayesian Networks; Pedagogical Strategies,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,62186,470356,https://api.openalex.org/works?filter=topics.id:T11902,2026-06-19T03:01:20,2024-01-23T15:27:12,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10639,https://openalex.org/T10639,Advanced Software Engineering Methodologies,"This cluster of papers focuses on autonomic computing, self-adaptive systems, and their related concepts such as software architecture, aspect-oriented programming, requirements engineering, feature models, variability management, middleware, and dynamic software product lines. The papers cover topics like modeling and reasoning support for early-phase requirements engineering, architecture-based self-adaptation, automated analysis of feature models, and the challenges in automotive software engineering.",Autonomic Computing; Self-Adaptive Systems; Software Architecture; Aspect-Oriented Programming; Requirements Engineering; Feature Models; Variability Management; Middleware; Dynamic Software Product Lines; Model-Based Development,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,61666,683689,https://api.openalex.org/works?filter=topics.id:T10639,2026-06-19T03:01:20,2024-01-23T15:27:07,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T12128,https://openalex.org/T12128,AI in Service Interactions,"This cluster of papers explores the impact of artificial intelligence, service robots, and chatbots on the service industry, focusing on customer experience, hospitality, marketing, voice assistants, human-robot interaction, and technology adoption.",Artificial Intelligence; Service Robots; Chatbots; Customer Experience; Hospitality; Marketing; Voice Assistants; Human-Robot Interaction; Consumer Perception; Technology Adoption,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,61629,422944,https://api.openalex.org/works?filter=topics.id:T12128,2026-06-19T03:01:20,2024-01-23T15:27:13,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10462,https://openalex.org/T10462,Reinforcement Learning in Robotics,"This cluster of papers encompasses a wide range of advancements in reinforcement learning algorithms and their applications, including deep learning, neural networks, robotics, autonomous control, policy gradient methods, multi-agent systems, model-based learning, curiosity-driven exploration, and simulation to real-world transfer.",Reinforcement Learning; Deep Learning; Neural Networks; Robotics; Autonomous Control; Policy Gradient; Multi-Agent Systems; Model-Based Learning; Curiosity-Driven Exploration; Simulation to Real-world Transfer,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,59307,762636,https://api.openalex.org/works?filter=topics.id:T10462,2026-06-19T03:01:20,2024-01-23T15:27:06,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10456,https://openalex.org/T10456,Multi-Agent Systems and Negotiation,"This cluster of papers focuses on methods and techniques for agent-based modeling, encompassing topics such as multi-agent systems, argumentation frameworks, software engineering, simulation, negotiation, artificial intelligence, dialectical argumentation, formal methods, and social simulation.",Agent-Based Modeling; Multi-Agent Systems; Argumentation Frameworks; Software Engineering; Simulation; Negotiation; Artificial Intelligence; Dialectical Argumentation; Formal Methods; Social Simulation,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,59035,565173,https://api.openalex.org/works?filter=topics.id:T10456,2026-06-19T03:01:20,2024-01-23T15:27:06,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10711,https://openalex.org/T10711,Target Tracking and Data Fusion in Sensor Networks,"This cluster of papers focuses on particle filtering and nonlinear estimation methods, including Kalman filters, Monte Carlo methods, sensor fusion, sequential Monte Carlo, Gaussian filters, and Bayesian inference. The papers cover a wide range of applications such as state estimation, multitarget tracking, and sensor network management.",Particle Filters; Nonlinear Estimation; Kalman Filters; Monte Carlo Methods; State Estimation; Sensor Fusion; Sequential Monte Carlo; Gaussian Filters; Multitarget Tracking; Bayesian Inference,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,58778,824648,https://api.openalex.org/works?filter=topics.id:T10711,2026-06-19T03:01:20,2024-01-23T15:27:07,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T12031,https://openalex.org/T12031,Speech and dialogue systems,"This cluster of papers focuses on the modeling and optimization of dialogue acts in spoken language systems, utilizing techniques such as Markov decision processes, user simulation, multimodal interaction, reinforcement learning, natural language generation, and the hidden information state model. The research also delves into semantic processing, referring expressions, and the management of dialogues in various contexts.",Spoken Dialogue Systems; Markov Decision Processes; User Simulation; Multimodal Interaction; Reinforcement Learning; Natural Language Generation; Hidden Information State Model; Dialog Management; Semantic Processing; Referring Expressions,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,57847,536390,https://api.openalex.org/works?filter=topics.id:T12031,2026-06-19T03:01:20,2024-01-23T15:27:12,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T13674,https://openalex.org/T13674,Computer Science and Engineering,"This cluster of papers covers topics related to digital image processing, artificial neural networks, and their applications in various fields such as cryptography, machine learning, computer vision, and data security. The use of MATLAB for digital image processing and the application of artificial neural networks for tasks like face recognition and traffic sign recognition are also prominent in this cluster.",Digital Image Processing; Artificial Neural Networks; MATLAB; Cryptography; Machine Learning; Computer Vision; Big Data; Face Recognition; Data Security; Traffic Sign Recognition,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,57723,59336,https://api.openalex.org/works?filter=topics.id:T13674,2026-06-19T03:01:20,2024-01-23T15:27:19,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10820,https://openalex.org/T10820,Fuzzy Logic and Control Systems,"This cluster of papers focuses on the theory, design, and applications of Type-2 Fuzzy Logic Systems, including Interval Type-2 Fuzzy Logic. It covers topics such as neuro-fuzzy methods, genetic fuzzy systems, system identification, control systems, machine learning, and pattern recognition.",Type-2 Fuzzy Sets; Fuzzy Logic Systems; Neuro-Fuzzy Methods; Interval Type-2 Fuzzy Logic; Genetic Fuzzy Systems; Fuzzy Rule-Based Systems; System Identification; Control Systems; Machine Learning; Pattern Recognition,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,57656,956133,https://api.openalex.org/works?filter=topics.id:T10820,2026-06-19T03:01:20,2024-01-23T15:27:08,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T11273,https://openalex.org/T11273,Advanced Graph Neural Networks,"This cluster of papers focuses on the development, applications, and techniques related to Graph Neural Networks (GNNs) and their variants. It covers topics such as knowledge graph embedding, representation learning, network embedding, deep learning, graph convolutional networks, heterogeneous networks, relational data modeling, signal processing on graphs, and semi-supervised learning.",Graph Neural Networks; Knowledge Graph Embedding; Representation Learning; Network Embedding; Deep Learning; Graph Convolutional Networks; Heterogeneous Networks; Relational Data Modeling; Signal Processing on Graphs; Semi-Supervised Learning,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,57379,553096,https://api.openalex.org/works?filter=topics.id:T11273,2026-06-19T03:01:20,2024-01-23T15:27:10,OpenAlex Topics API,2026-06-19T23:47:35+00:00
